DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
200510994;06/25/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200517895;12/16/2020 12:00:00 AM;Harbor     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
200516175;11/04/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200517231;11/29/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200512066;07/20/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200516455;11/10/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200512280;07/24/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200513966;09/08/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200505875;02/14/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200517669;12/10/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200510674;06/16/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200506064;02/18/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200507119;03/12/2020 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
200505250;01/30/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200505068;01/26/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200512111;07/21/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200515258;10/14/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200508431;04/18/2020 12:00:00 AM;Harbor     ;OTHER MISCELLANEOUS CRIME                               
200504809;01/20/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200508796;04/27/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200509288;05/10/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200512410;07/29/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
200511995;07/18/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200509761;05/21/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200508664;04/24/2020 12:00:00 AM;Harbor     ;BRANDISH WEAPON                                         
200512288;07/26/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200518024;12/20/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200518007;12/20/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200507569;03/24/2020 12:00:00 AM;Harbor     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
200517068;11/23/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200517191;11/28/2020 12:00:00 AM;Harbor     ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
200508143;04/11/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200508041;04/08/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200506941;03/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200512756;08/07/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200515535;10/20/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200505760;02/11/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200514132;09/14/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
200508408;04/18/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200517938;12/18/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200504057;01/02/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200500566;02/24/2020 12:00:00 AM;Harbor     ;BRANDISH WEAPON                                         
200511560;07/07/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200510041;05/28/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200507876;04/02/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200517520;12/06/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200511633;07/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200507310;03/17/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200505655;02/09/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200507899;04/03/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200508338;04/16/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200511333;07/02/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200516945;11/21/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200504333;01/08/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200500685;06/14/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
200506572;03/01/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200505252;01/30/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200507883;04/02/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200514509;09/25/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
200516239;11/05/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200509715;05/20/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
210505050;01/04/2021 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200517620;12/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200506728;03/04/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
200510510;06/11/2020 12:00:00 AM;Harbor     ;RESISTING ARREST                                        
200504784;01/19/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
200506070;02/18/2020 12:00:00 AM;Harbor     ;BIKE - STOLEN                                           
200515571;10/20/2020 12:00:00 AM;Harbor     ;TILL TAP - GRAND THEFT ($950.01 & OVER)                 
200506626;03/02/2020 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
200506623;03/02/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200506397;02/26/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200515196;10/12/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200509190;05/08/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200510802;06/19/2020 12:00:00 AM;Harbor     ;ARSON                                                   
200511656;07/10/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200511868;07/15/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200512783;08/08/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200512754;08/08/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200510842;06/21/2020 12:00:00 AM;Harbor     ;TRESPASSING                                             
200500577;03/10/2020 12:00:00 AM;Harbor     ;TRESPASSING                                             
200504465;01/10/2020 12:00:00 AM;Harbor     ;OTHER ASSAULT                                           
200517972;12/18/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
200515050;10/09/2020 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
210508506;04/29/2021 12:00:00 AM;Harbor     ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
200508713;04/26/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200513050;08/16/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200515253;10/14/2020 12:00:00 AM;Harbor     ;OTHER MISCELLANEOUS CRIME                               
200515482;10/19/2020 12:00:00 AM;Harbor     ;EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)              
200508364;04/17/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200512616;08/03/2020 12:00:00 AM;Harbor     ;OTHER ASSAULT                                           
200512914;08/12/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
200510123;05/31/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200506944;03/09/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200514941;10/06/2020 12:00:00 AM;Harbor     ;CHILD ANNOYING (17YRS & UNDER)                          
200504703;01/17/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200508158;04/11/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200505526;02/05/2020 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
200514102;09/14/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200510675;06/16/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200507056;03/11/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200506170;02/20/2020 12:00:00 AM;Harbor     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
200511387;07/02/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200505118;01/27/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200515550;10/20/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200509281;05/10/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200513367;08/25/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200506744;03/04/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200512437;07/29/2020 12:00:00 AM;Harbor     ;VIOLATION OF RESTRAINING ORDER                          
200517171;11/28/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200517861;12/16/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200511463;07/05/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200516153;11/03/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200510859;06/21/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200515831;10/26/2020 12:00:00 AM;Harbor     ;ROBBERY                                                 
200505266;01/30/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200518096;12/22/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200509841;05/23/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200515677;10/23/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200505841;02/13/2020 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
200505645;02/09/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200514316;09/18/2020 12:00:00 AM;Harbor     ;VIOLATION OF RESTRAINING ORDER                          
200511775;07/13/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200512425;07/29/2020 12:00:00 AM;Harbor     ;ROBBERY                                                 
200516164;11/02/2020 12:00:00 AM;Harbor     ;THEFT OF IDENTITY                                       
200513225;08/21/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
200510784;06/19/2020 12:00:00 AM;Harbor     ;DOCUMENT FORGERY / STOLEN FELONY                        
200509077;05/04/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
200513281;08/21/2020 12:00:00 AM;Harbor     ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
200513785;09/05/2020 12:00:00 AM;Harbor     ;DISCHARGE FIREARMS/SHOTS FIRED                          
200513459;08/27/2020 12:00:00 AM;Harbor     ;BURGLARY, ATTEMPTED                                     
200517203;11/29/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
210505173;01/16/2021 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200516666;11/15/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200507832;04/01/2020 12:00:00 AM;Harbor     ;ROBBERY                                                 
200513043;08/16/2020 12:00:00 AM;Harbor     ;BRANDISH WEAPON                                         
200511054;06/25/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200507312;03/17/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200518355;12/30/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200506494;02/27/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
200508618;04/23/2020 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
200511987;07/18/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200510476;06/11/2020 12:00:00 AM;Harbor     ;VIOLATION OF RESTRAINING ORDER                          
200511829;07/14/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200511712;07/12/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
210505172;01/16/2021 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200512569;08/02/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200511705;07/11/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
200505979;02/17/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
200504705;01/17/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200509089;05/05/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200518138;12/23/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
200516927;11/20/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200508121;04/10/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - ATTEMPT                                   
200510124;05/31/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200512572;08/02/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200513388;08/23/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
200515656;10/22/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200516686;11/15/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200513223;08/20/2020 12:00:00 AM;Harbor     ;VEHICLE - ATTEMPT STOLEN                                
200514577;09/27/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200518412;12/31/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200518210;12/25/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200509997;05/27/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200513256;08/22/2020 12:00:00 AM;Harbor     ;BURGLARY FROM VEHICLE                                   
200512785;08/08/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200517932;12/17/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200514973;10/07/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
200516720;11/16/2020 12:00:00 AM;Harbor     ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
200506555;02/29/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200506551;02/29/2020 12:00:00 AM;Harbor     ;ATTEMPTED ROBBERY                                       
200512610;08/03/2020 12:00:00 AM;Harbor     ;BURGLARY                                                
200504494;01/11/2020 12:00:00 AM;Harbor     ;CRIMINAL THREATS - NO WEAPON DISPLAYED                  
200516989;11/22/2020 12:00:00 AM;Harbor     ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
200515243;10/14/2020 12:00:00 AM;Harbor     ;THEFT PLAIN - PETTY ($950 & UNDER)                      
200507745;03/30/2020 12:00:00 AM;Harbor     ;VEHICLE - STOLEN                                        
200513730;07/04/2020 12:00:00 AM;Harbor     ;VIOLATION OF COURT ORDER                                
200505338;02/01/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200513784;09/05/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200513242;08/21/2020 12:00:00 AM;Harbor     ;SHOPLIFTING - PETTY THEFT ($950 & UNDER)                
200509559;05/17/2020 12:00:00 AM;Harbor     ;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER)     
200515220;10/13/2020 12:00:00 AM;Harbor     ;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT          
200517966;12/18/2020 12:00:00 AM;Harbor     ;BATTERY - SIMPLE ASSAULT                                
200516864;11/18/2020 12:00:00 AM;Harbor     ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
200511002;06/24/2020 12:00:00 AM;Harbor     ;BUNCO, GRAND THEFT                                      
200512612;08/03/2020 12:00:00 AM;Harbor     ;DRIVING WITHOUT OWNER CONSENT (DWOC)                    
200511993;07/18/2020 12:00:00 AM;Harbor     ;VEHICLE - ATTEMPT STOLEN                                
200512688;08/06/2020 12:00:00 AM;Harbor     ;VIOLATION OF RESTRAINING ORDER                          
200514711;09/30/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - AGGRAVATED ASSAULT                   
200506609;03/02/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200506697;03/03/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200518261;12/28/2020 12:00:00 AM;Harbor     ;ROBBERY                                                 
200518206;12/25/2020 12:00:00 AM;Harbor     ;INTIMATE PARTNER - SIMPLE ASSAULT                       
200508896;05/01/2020 12:00:00 AM;Harbor     ;VEHICLE - ATTEMPT STOLEN                                
200518043;12/21/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
200512012;07/18/2020 12:00:00 AM;Harbor     ;RAPE, ATTEMPTED                                         
200505944;02/15/2020 12:00:00 AM;Harbor     ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
